AcceptedTaxonID	Kingdom	Phylum	Class	Order	Superfamily	Family	Genus	SubGenusName	SpeciesEpithet	AuthorString	GSDNameStatus	Sp2000NameStatus	IsExtinct	HasPreHolocene	HasModern	LifeZone	AdditionalData	LTSSpecialist	LTSDate	SpeciesURL	GSDTaxonGUID	GSDNameGUID
Thr-1	Animalia	Arthropoda	Insecta	Thysanoptera		Phlaeothripidae	Haplothrips	Haplothrips	minisetosus	Klimt, 1969		1	0	0	1	terrestrial		Thr-1	2015-Oct-10	https://thrips.info/wiki/Haplothrips_(Haplothrips)_minisetosus		
Thr-3	Animalia	Arthropoda	Insecta	Thysanoptera		Thripidae	Eryngyothrips		banihashemii	Minaei, Alavi, Fekrat & Aleosfoor, 2014		1	0	0	1	terrestrial		Thr-1	2018-Oct-10	https://thrips.info/wiki/Eryngyothrips_banihashemii		
Thr-5	Animalia	Arthropoda	Insecta	Thysanoptera		Heterothripidae	Heterothrips		arisaemae	Hood, 1908		1	0	0	1	terrestrial		Thr-1	2015-Sep-09	https://thrips.info/wiki/Heterothrips_arisaemae		
Thr-7	Animalia	Arthropoda	Insecta	Thysanoptera		Heterothripidae	Heterothrips		auranticornis	Watson, 1922		1	0	0	1	terrestrial		Thr-1	2015-Sep-09	https://thrips.info/wiki/Heterothrips_auranticornis		
Thr-9	Animalia	Arthropoda	Insecta	Thysanoptera		Thripidae	Oxythrips		uncinatus	Priesner, 1940		1	0	0	1	terrestrial		Thr-1	2015-Sep-09	https://thrips.info/wiki/Oxythrips_uncinatus		
Thr-11	Animalia	Arthropoda	Insecta	Thysanoptera		Thripidae	Oxythrips		ursulae	(Schliephake, 1993)		1	1	1	0	terrestrial		Thr-1	2015-Sep-09	https://thrips.info/wiki/%E2%80%A0_Oxythrips_ursulae		
Thr-13	Animalia	Arthropoda	Insecta	Thysanoptera		Phlaeothripidae	Liothrips	Zopyrothrips	maximus	(Karny, 1922)		1	0	0	1	terrestrial		Thr-1	2018-Oct-10	https://thrips.info/wiki/Liothrips_(Zopyrothrips)_maximus		
Thr-16	Animalia	Arthropoda	Insecta	Thysanoptera		Phlaeothripidae	Haplothrips	Trybomiella	pallescens	(Hood, 1919)		1	0	0	1	terrestrial		Thr-1	2018-Sep-09	https://thrips.info/wiki/Haplothrips_(Trybomiella)_pallescens		
Thr-22	Animalia	Arthropoda	Insecta	Thysanoptera		Thripidae	Ctenothrips		guizhouensis	Xie YH, Zhang HR & Li ZY, 2011		1	0	0	1	terrestrial		Thr-1	2018-Oct-10	https://thrips.info/wiki/Ctenothrips_guizhouensis		
Thr-24	Animalia	Arthropoda	Insecta	Thysanoptera		Thripidae	Ctenothrips		yangi	Xie YH, Yuan SY, Li ZY & Zhang HR, 2013		1	0	0	1	terrestrial		Thr-1	2015-Sep-09	https://thrips.info/wiki/Ctenothrips_yangi		
