AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Thr-1	Netherlands	Text	
Thr-2	Netherlands	Text	
Thr-3	Iran; Fars province	Text	
Thr-4	Iran; Fars province	Text	
Thr-5	USA; Illinois	Text	
Thr-6	USA; Illinois	Text	
Thr-7	USA; Georgia	Text	
Thr-8	USA; Georgia	Text	
Thr-9	Israel	Text	
Thr-10	Israel	Text	
Thr-11		Text	
Thr-12		Text	
Thr-13	Indonesia	Text	
Thr-14	Indonesia	Text	
Thr-15	Indonesia	Text	
Thr-16	China; Australia	Text	
Thr-17	China; Australia	Text	
Thr-18	China; Australia	Text	
Thr-19	China; Australia	Text	
Thr-20	China; Australia	Text	
Thr-21	China; Australia	Text	
Thr-22	China; Guizhou province	Text	
Thr-23	China; Guizhou province	Text	
Thr-24	China; Yunnan	Text	
Thr-25	China; Yunnan	Text	
Thr-26	China; Fujian	Text	
Thr-27	China; Fujian	Text	
Thr-28	China; Guizhou	Text	
Thr-29	China; Guizhou	Text	
Thr-30	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-31	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-32	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-33	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-34	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-35	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-36	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-37	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-38	India; Indonesia; Australia; Romania; Bangladesh; England; Asia	Text	
Thr-39	California	Text	
Thr-40	California	Text	
Thr-41	Kazakhstan	Text	
Thr-42	Kazakhstan	Text	
Thr-43	Argentina	Text	
Thr-44	Argentina	Text	
Thr-45	Australia	Text	
Thr-46	Australia	Text	
Thr-47	Australia	Text	
Thr-48	Australia	Text	
Thr-49	Australia	Text	
Thr-50	Australia	Text	
Thr-51	Australia	Text	
Thr-52	Australia	Text	
Thr-53	Australia	Text	
Thr-54	Taiwan	Text	
Thr-55	Taiwan	Text	
Thr-56	Taiwan	Text	
Thr-57	Taiwan	Text	
Thr-58	Indonesia	Text	
Thr-59	Indonesia	Text	
Thr-60	Indonesia	Text	
Thr-61	Sri Lanka; Australia; Panama; Honduras; Martinique; Guadeloupe	Text	
Thr-62	Sri Lanka; Australia; Panama; Honduras; Martinique; Guadeloupe	Text	
Thr-63	Sri Lanka; Australia; Panama; Honduras; Martinique; Guadeloupe	Text	
Thr-64	Sri Lanka; Australia; Panama; Honduras; Martinique; Guadeloupe	Text	
Thr-65	Sri Lanka; Australia; Panama; Honduras; Martinique; Guadeloupe	Text	
Thr-66	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-67	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-68	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-69	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-70	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-71	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-72	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-73	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-74	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-75	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-76	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-77	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-78	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-79	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-80	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-81	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-82	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-83	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-84	Germany; Finland; Taiwan; Spain; Denmark; France; Poland; USA; Hungary; England; Iowa	Text	
Thr-85	California	Text	
Thr-86	California	Text	
Thr-87	Philippines	Text	
Thr-88	Philippines	Text	
Thr-89	Philippines	Text	
Thr-90	Philippines	Text	
Thr-91	Moldova; Russia; USA; Austria; India; Hungary; Canada; Japan; Australia; France; England	Text	
Thr-92	Moldova; Russia; USA; Austria; India; Hungary; Canada; Japan; Australia; France; England	Text	
Thr-93	Moldova; Russia; USA; Austria; India; Hungary; Canada; Japan; Australia; France; England	Text	
Thr-94	Moldova; Russia; USA; Austria; India; Hungary; Canada; Japan; Australia; France; England	Text	
Thr-95	Moldova; Russia; USA; Austria; India; Hungary; Canada; Japan; Australia; France; England	Text	
