AcceptedTaxonID	DistributionElement	StandardInUse	DistributionStatus
Ginkgo_spitsbergensis	Foot of mountain Basilika, Vestspitsbergen	Text	
Ginkgo_suluktensis	Sulyukta, left part of Kokynesay, Kyrgyzstan	Text	
Ginkgo_wyomingensis	Wyoming, USA	Text	
Ginkgo_xiahuayuanensis	Xiahuayuan Formation, Shangyi basin, North China	Text	
Ginkgo_muriselmata	Waldeck, Maclear Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_neimengensis	Mandula coal mine of Huolinhe City, northeastern Inner Mongolia, China	Text	
Ginkgo_obrutschewii	Diam River, Ak-dja, Chinese Dzungaria, western border of Mongolia	Text	
Ginkgo_oishii	Kuzi, Honshu, Japan	Text	
Ginkgo_orientalis	Cape Crillon, Sakhalin, Russia	Text	
Ginkgo_palmata	Sydney Subregion, Sydney Basin, Australia	Text	
Ginkgo_paradiantoides	Left bank of the Zyryanka river, Sakha Republic, Russia	Text	
Ginkgo_parasingularis	Zirab, Northern Iran	Text	
Ginkgo_parvula	Erdilyakh river, Lena and Olenek region, basin of the Lena river, Russia	Text	
Ginkgo_permjakensis	Bungarapskaya sinklinal', Bojaryshynovo village, Russia	Text	
Ginkgo_pilifera	Linde River (left tributary of the Lena River),Sakha Republic, Russia	Text	
Ginkgo_pluripartita	Osterwald, Hanover, Germany	Text	
Ginkgo_polymorpha	Lower course of the Aldan river, Siberia, Russia	Text	
Ginkgo_pusilla	Ust-Baley, Irkutsk, Russia	Text	
Ginkgo_qaidamensis	Qaidam Basin, Qinghai, China	Text	
Ginkgo_resecta	Köýtendag Range (Gissar Range), Central Asia, Turkmenistan	Text	
Ginkgo_rajmahalensis	Sakrigalighat, Maharajpur, Basko, Segarbhanga and Pathargama in the Rajmahal Hills, Bihar, India	Text	
Ginkgo_samylinae	Lower Duisk Formation, Sakhalin, Russia	Text	
Ginkgo_sertensis	Chulymo-Eniseyskiy region, Western Siberia, Russia	Text	
Ginkgo_shiguaiensis	Shiguai Coal Mine, Inner Mongolia, China	Text	
Ginkgo_matatiensis	Matatiele, Matatiele Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_mentiensis	Lyampushka river, tributary of the Lena River, Rusia	Text	
Ginkgo_marginata	Hälsingborg, Sweden	Text	
Ginkgo_marchaensis	Markha river, Vilyuy river basin, tributary of the Lena River, Rusia	Text	
Ginkgo_manchurica	Xilutian (Jiufotang) formation, Pingzhuang Station, China	Text	
Ginkgo_longifolius	Marske Quarry, North Yorkshire, England	Text	
Ginkgo_liaoningensis	Huangbanjigou Village, Beipiao (Peipiao) City, Liaoning Province, China	Text	
Ginkgo_lepida	Ust-Baley, Irkutsk, Russia	Text	
Ginkgo_laramiensis	Point of Rocks, Wyoming, USA	Text	
Ginkgo_lanceoloba	Chelyabinsk Coal basin, Russia	Text	
Ginkgo_konigensis	Konings Kroon, Maclear Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_taochuanensis	Romania	Text	
Ginkgo_tapkensis	Right bank of the Angara river, Irkutsk Basin, Rusia	Text	
Ginkgo_tatjanae	Bay Podkagernoy, Northwest Kamchatka Peninsula, Russia	Text	
Ginkgo_telemachus	Telemachus Spruit, Molteno Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_tjukansis	Vilyuy river basin, tributary of the Lena River, Rusia	Text	
Ginkgo_transsenonica	Village Mgachi, Sakhalin, Russia	Text	
Ginkgo_tringulata	Shurab, Isfara District, Tajikistan	Text	
Ginkgo_troedssonii	Skåne, Sweden	Text	
Ginkgo_truncata	Haizhou District, Fuxin, Liaoning, China	Text	
Ginkgo_tzagajanica	Right bankof the Bureya River (Russian Far East), Russia	Text	
Ginkgo_verchojanica	Sobopol river, tributary of the Lena River, Rusia	Text	
Ginkgo_waldeckensis	Waldeck, Maclear Subregion, Karoo Basin, Eastern Cape, South Africa	Text	
Ginkgo_waarensis	Broken Hill, Port Cambell, Victoria, Australia	Text	
Ginkgo_whitbiensis	Whitby ("New Layer"), Scarborough, North Yorkshire, England	Text	
Ginkgo_kolymensis	Groznaya river, tributary of the Silyap River, Kolyma River basin, Russia	Text	
