ID	ReferenceType	ReferenceID
Thr-1	NomRef	Thr-Ref-1
Thr-2	NomRef	Thr-Ref-1
Thr-3	NomRef	Thr-Ref-2
Thr-4	NomRef	Thr-Ref-2
Thr-5	NomRef	Thr-Ref-3
Thr-6	NomRef	Thr-Ref-3
Thr-5	TaxAccRef	Thr-Ref-4
Thr-7	NomRef	Thr-Ref-5
Thr-8	NomRef	Thr-Ref-5
Thr-9	NomRef	Thr-Ref-6
Thr-10	NomRef	Thr-Ref-6
Thr-11	NomRef	Thr-Ref-7
Thr-12	NomRef	Thr-Ref-7
Thr-13	NomRef	Thr-Ref-8
Thr-14	NomRef	Thr-Ref-8
Thr-15	NomRef	Thr-Ref-8
Thr-13	TaxAccRef	Thr-Ref-9
Thr-16	NomRef	Thr-Ref-10
Thr-17	NomRef	Thr-Ref-10
Thr-21	NomRef	Thr-Ref-10
Thr-18	NomRef	Thr-Ref-11
Thr-19	NomRef	Thr-Ref-12
Thr-20	NomRef	Thr-Ref-13
Thr-16	TaxAccRef	Thr-Ref-14
Thr-16	TaxAccRef	Thr-Ref-15
Thr-16	TaxAccRef	Thr-Ref-16
Thr-22	TaxAccRef	Thr-Ref-17
Thr-24	TaxAccRef	Thr-Ref-18
Thr-26	TaxAccRef	Thr-Ref-19
Thr-28	NomRef	Thr-Ref-20
Thr-29	NomRef	Thr-Ref-20
Thr-30	NomRef	Thr-Ref-21
Thr-31	NomRef	Thr-Ref-21
Thr-32	NomRef	Thr-Ref-21
Thr-33	NomRef	Thr-Ref-21
Thr-34	NomRef	Thr-Ref-22
Thr-35	NomRef	Thr-Ref-23
Thr-36	NomRef	Thr-Ref-24
Thr-37	NomRef	Thr-Ref-25
Thr-30	TaxAccRef	Thr-Ref-26
Thr-38	NomRef	Thr-Ref-27
Thr-39	NomRef	Thr-Ref-28
Thr-40	NomRef	Thr-Ref-28
Thr-41	NomRef	Thr-Ref-29
Thr-42	NomRef	Thr-Ref-29
Thr-41	TaxAccRef	Thr-Ref-30
Thr-41	TaxAccRef	Thr-Ref-31
Thr-43	NomRef	Thr-Ref-32
Thr-44	NomRef	Thr-Ref-32
Thr-45	NomRef	Thr-Ref-33
Thr-46	NomRef	Thr-Ref-33
Thr-47	NomRef	Thr-Ref-33
Thr-48	NomRef	Thr-Ref-33
Thr-49	NomRef	Thr-Ref-34
Thr-50	NomRef	Thr-Ref-34
Thr-51	NomRef	Thr-Ref-35
Thr-52	NomRef	Thr-Ref-36
Thr-53	NomRef	Thr-Ref-37
Thr-45	TaxAccRef	Thr-Ref-38
Thr-54	TaxAccRef	Thr-Ref-39
Thr-54	NomRef	Thr-Ref-40
Thr-56	NomRef	Thr-Ref-40
Thr-57	NomRef	Thr-Ref-40
Thr-54	TaxAccRef	Thr-Ref-9
Thr-58	NomRef	Thr-Ref-41
Thr-59	NomRef	Thr-Ref-41
Thr-60	NomRef	Thr-Ref-41
Thr-58	TaxAccRef	Thr-Ref-42
Thr-61	NomRef	Thr-Ref-43
Thr-62	NomRef	Thr-Ref-43
Thr-63	NomRef	Thr-Ref-44
Thr-61	TaxAccRef	Thr-Ref-45
Thr-65	NomRef	Thr-Ref-46
Thr-61	TaxAccRef	Thr-Ref-47
Thr-61	TaxAccRef	Thr-Ref-48
Thr-66	NomRef	Thr-Ref-49
Thr-67	NomRef	Thr-Ref-49
Thr-68	NomRef	Thr-Ref-50
Thr-69	NomRef	Thr-Ref-51
Thr-70	NomRef	Thr-Ref-52
Thr-71	NomRef	Thr-Ref-53
Thr-72	NomRef	Thr-Ref-54
Thr-73	NomRef	Thr-Ref-55
Thr-74	NomRef	Thr-Ref-56
Thr-75	NomRef	Thr-Ref-57
Thr-76	NomRef	Thr-Ref-58
Thr-77	NomRef	Thr-Ref-59
Thr-78	NomRef	Thr-Ref-59
Thr-79	NomRef	Thr-Ref-60
Thr-80	NomRef	Thr-Ref-60
Thr-81	NomRef	Thr-Ref-60
Thr-82	NomRef	Thr-Ref-61
Thr-83	NomRef	Thr-Ref-62
Thr-84	NomRef	Thr-Ref-63
Thr-66	TaxAccRef	Thr-Ref-64
Thr-66	TaxAccRef	Thr-Ref-26
Thr-85	NomRef	Thr-Ref-65
Thr-86	NomRef	Thr-Ref-65
Thr-85	TaxAccRef	Thr-Ref-66
Thr-87	NomRef	Thr-Ref-67
Thr-88	NomRef	Thr-Ref-67
Thr-89	NomRef	Thr-Ref-67
Thr-90	NomRef	Thr-Ref-67
Thr-87	TaxAccRef	Thr-Ref-68
Thr-87	TaxAccRef	Thr-Ref-69
Thr-92	NomRef	Thr-Ref-70
Thr-91	NomRef	Thr-Ref-71
Thr-93	NomRef	Thr-Ref-71
Thr-94	NomRef	Thr-Ref-72
Thr-95	NomRef	Thr-Ref-73
Thr-96	NomRef	Thr-Ref-73
Thr-97	NomRef	Thr-Ref-73
Thr-98	NomRef	Thr-Ref-73
Thr-100	NomRef	Thr-Ref-74
Thr-101	NomRef	Thr-Ref-74
Thr-99	NomRef	Thr-Ref-75
Thr-102	NomRef	Thr-Ref-76
Thr-103	NomRef	Thr-Ref-43
Thr-104	NomRef	Thr-Ref-77
Thr-105	NomRef	Thr-Ref-77
Thr-106	NomRef	Thr-Ref-78
Thr-107	NomRef	Thr-Ref-79
Thr-108	NomRef	Thr-Ref-80
Thr-112	NomRef	Thr-Ref-57
Thr-109	NomRef	Thr-Ref-81
Thr-110	NomRef	Thr-Ref-81
Thr-111	NomRef	Thr-Ref-81
Thr-113	NomRef	Thr-Ref-82
Thr-114	NomRef	Thr-Ref-83
Thr-115	NomRef	Thr-Ref-84
Thr-91	TaxAccRef	Thr-Ref-26
Thr-91	TaxAccRef	Thr-Ref-85
Thr-91	TaxAccRef	Thr-Ref-86
Thr-91	TaxAccRef	Thr-Ref-87
Thr-91	TaxAccRef	Thr-Ref-88
Thr-91	TaxAccRef	Thr-Ref-89
Thr-116	NomRef	Thr-Ref-90
Thr-117	NomRef	Thr-Ref-90
Thr-118	NomRef	Thr-Ref-91
Thr-119	NomRef	Thr-Ref-91
Thr-120	NomRef	Thr-Ref-92
Thr-121	NomRef	Thr-Ref-92
Thr-120	TaxAccRef	Thr-Ref-93
Thr-122	NomRef	Thr-Ref-49
Thr-123	NomRef	Thr-Ref-49
Thr-124	NomRef	Thr-Ref-94
Thr-122	TaxAccRef	Thr-Ref-95
Thr-125	NomRef	Thr-Ref-96
Thr-126	NomRef	Thr-Ref-96
Thr-127	NomRef	Thr-Ref-97
Thr-128	NomRef	Thr-Ref-97
Thr-129	NomRef	Thr-Ref-98
Thr-130	NomRef	Thr-Ref-98
Thr-131	NomRef	Thr-Ref-99
Thr-132	NomRef	Thr-Ref-99
Thr-133	NomRef	Thr-Ref-100
Thr-134	NomRef	Thr-Ref-100
Thr-135	NomRef	Thr-Ref-94
Thr-136	NomRef	Thr-Ref-94
Thr-135	TaxAccRef	Thr-Ref-101
Thr-137	NomRef	Thr-Ref-102
Thr-138	NomRef	Thr-Ref-102
Thr-137	TaxAccRef	Thr-Ref-103
Thr-139	NomRef	Thr-Ref-104
Thr-140	NomRef	Thr-Ref-104
Thr-139	TaxAccRef	Thr-Ref-95
Thr-141	NomRef	Thr-Ref-105
Thr-142	NomRef	Thr-Ref-105
Thr-143	NomRef	Thr-Ref-106
Thr-141	TaxAccRef	Thr-Ref-107
Thr-144	NomRef	Thr-Ref-108
Thr-145	NomRef	Thr-Ref-108
Thr-144	TaxAccRef	Thr-Ref-109
Thr-146	NomRef	Thr-Ref-110
Thr-147	NomRef	Thr-Ref-110
Thr-148	TaxAccRef	Thr-Ref-111
Thr-150	NomRef	Thr-Ref-112
Thr-151	NomRef	Thr-Ref-112
Thr-150	TaxAccRef	Thr-Ref-95
Thr-152	NomRef	Thr-Ref-113
Thr-153	NomRef	Thr-Ref-113
Thr-154	NomRef	Thr-Ref-114
Thr-155	NomRef	Thr-Ref-114
Thr-152	TaxAccRef	Thr-Ref-115
Thr-156	NomRef	Thr-Ref-116
Thr-157	NomRef	Thr-Ref-116
Thr-156	TaxAccRef	Thr-Ref-95
Thr-158	NomRef	Thr-Ref-115
Thr-159	NomRef	Thr-Ref-115
Thr-160	NomRef	Thr-Ref-117
Thr-161	NomRef	Thr-Ref-117
Thr-162	NomRef	Thr-Ref-118
Thr-160	TaxAccRef	Thr-Ref-119
Thr-160	TaxAccRef	Thr-Ref-120
Thr-163	NomRef	Thr-Ref-116
Thr-164	NomRef	Thr-Ref-116
Thr-163	TaxAccRef	Thr-Ref-95
Thr-165	NomRef	Thr-Ref-121
Thr-166	NomRef	Thr-Ref-121
Thr-167	NomRef	Thr-Ref-122
Thr-169	NomRef	Thr-Ref-123
Thr-170	NomRef	Thr-Ref-124
Thr-171	NomRef	Thr-Ref-99
Thr-165	TaxAccRef	Thr-Ref-119
Thr-165	TaxAccRef	Thr-Ref-101
Thr-172	NomRef	Thr-Ref-125
Thr-173	NomRef	Thr-Ref-125
Thr-172	TaxAccRef	Thr-Ref-126
