ReferenceID	Authors	Year	Title	Details
Thr-Ref-1	Klimt 	1969	Untersuchungen zur Systematik europaischer Haplothrips-Arten.	
Thr-Ref-2	Minaei K., Alavi J., Fekrat L., & Aleosfoor M.	2014	First record of the genus Eryngyothrips from Iran with description of a new species (Thysanoptera: Thripidae).	Acta Entomologica Musei Nationalis Pragae 54: 455–460
Thr-Ref-3	Hood J.D.	1908	New genera and species of Illinois Thysanoptera.	Bulletin of the Illinois State Laboratory of Natural History 8: 361–379
Thr-Ref-4	Pitkin B.R.	1978	Lectotype designations of certain species of thrips described by J.D.Hood and notes on his collection (Thysanoptera).	Proceedings of the Entomological Society of Washington 80: 264–295
Thr-Ref-5	Watson JR 	1922	On a collection of Thysanoptera from Rabun County, Georgia.	Florida Entomologist 6: 34–39
Thr-Ref-6	Priesner H.	1940	On some Thysanoptera (Thripidae) from Palestine and Cyprus.	Bulletin de la Societe Royale entomologique d'Egypte 24: 46–56
Thr-Ref-7	Schliephake 	1993	Beiträge zur Kenntnis fossiler Fransenflügler (Thysanoptera) aus dem Bernstein des Tertiär, 2. Beitrag: Aeolothripidae (Melanthripinae) und Thripidae (Dendrothripinae und Thripinae.	Zool. Jb. Syst. Jena 120: 215–251
Thr-Ref-8	Karny H.	1922	Thysanoptera from Siam and Indo-China.	Journal of the Siam Society 16: 91–153
Thr-Ref-9	Priesner H.	1968	On the genera allied to Liothrips of the Oriental fauna II (Insecta-Thysanoptera).	Treubia 27: 175–285
Thr-Ref-10	Hood J.D.	1919	Two new genera and thirteen new species of Australian Thysanoptera.	Proceedings of the Biological Society of Washington 32: 75–92.
Thr-Ref-11	Girault A.A.	1928	Some new Hexapods stolen from authority.	Brisbane: Published privately. P. 1–4
Thr-Ref-12	Pelikan J.	1963	A new Haplothrips from China.	Časopis Československé Společnosti Entomologické (Acta Societatis Entomologicae Cechosloveniae 60: 273–276
Thr-Ref-13	Pelikan J.	1968	Two new Thysanoptera from Asia with notes on synonymy.	Acta Entomologica Bohemoslovaca 65: 216–221
Thr-Ref-14	Pitkin B.R.	1973	A revision of the Australian Haplothripini, with descriptions of three new species (Thysanoptera: Phlaeothripidae).	Journal of the Australian Entomological Society 12: 315–339
Thr-Ref-15	Okajima S.	2006	The Insects of Japan.	Fukuoka: Touka Shobo Co. Ltd. P. 1–720
Thr-Ref-16	Tyagi K., Singha D., Saha G.K., & Kumar V.	2018	One generic synonym and one new species of Phlaeothripidae from India (Thysanoptera).	ZooKeys 786: 59–68
Thr-Ref-17	Xie Y.-H., Zhang H.-R., & Li Z.-Y.	2011	A new Ctenothrips from southwestern China (Thysanoptera: Thripidae).	Zootaxa 2926: 65–68
Thr-Ref-18	Xie Y.-H., Yuan S.-Y., Li Z.-Y., & Zhang H.-R.	2013	A new leaf-feeding species of Ctenothrips (Thysanoptera: Thripidae) from China.	Florida Entomologist 96(2): 610–618
Thr-Ref-19	Mirab-Balou M., & Yang S.-L.		& Tong X(2014) Description of a New Species of the Genus Megalurothrips (Thysanoptera: Thripidae) from China.	Entomological News 123(5): 
Thr-Ref-20	Zhang G.-L., Feng J.-N., & Zhang J.-M.	2004	A new species of the genus Megalurothrips (Thysanoptera: Thripidae) from China.	Entomotaxonomia 26(3): 163–165
Thr-Ref-21	Bagnall R.S.	1913	Further notes on new and rare British Thysanoptera (Terebrantia) with descriptions of new species.	Journal of economic Biology 8: 231–240
Thr-Ref-22	Williams 	1916	Thrips oryzae sp.nov., injurious to rice in India.	Bulletin of Entomological Research 6: 353–355
Thr-Ref-23	Karny H.	1925	Die an Tabak auf Java und Sumatra angetroffenen Blasenfüsser.	Bulletin van het deli Proefstation te Medan 23: 1–55
Thr-Ref-24	Girault A.A.	1929	New pests from Australia VI.	Brisbane: Privately published. P. 1–4
Thr-Ref-25	Knechtel 	1964	O noua specie dobrogeana din genul Thrips ( Thysanoptera).	Studii si Cercetari de Biologie, Seria Zoologie 16: 479–480
Thr-Ref-26	Mound L.A.	1968	A review of R.S. Bagnall's Thysanoptera collections.	Bulletin of the British Museum (Natural History) Entomology 11: 1–181
Thr-Ref-27	zur Strassen R 	1975	Thysanopterologische Notizen (3) (Insecta: Thysanoptera.	Senckenbergiana biologica 56: 75–88
Thr-Ref-28	Mound L.A., & Marullo R.	1999	Two new basal-clade Thysanoptera from California with Old World affinities.	Journal of the New York Entomological Society 106: 81–94
Thr-Ref-29	Martynov A.V.	1927	Jurassic fossil insects from Turkestan.	Bulletin of the Academy of Sciences USSR 7: 757–768
Thr-Ref-30	Priesner H.	1949	Genera Thysanopterorum. Keys for the identification of the genera of the order Thysanoptera.	Bulletin de la Société Royal Entomologique d'Egypte 33: 31–157
Thr-Ref-31	Schmakov A.S.	2008	The Jurassic thrips Liassothrips crassipes (Martynov, 1927) and its taxonomic position in the Order Thysanoptera (Insecta.	Palaeontological Journal 42: 47–52
Thr-Ref-32	de Santis L 	1958	Las especies Argentinas del genero Leptogastrothrips (Thysanoptera: Tubulifera).	Revista de la Facultad de Agronomía de La Plata 34: 95–102
Thr-Ref-33	Haliday A.H.	1852	Order III Physapoda.	pp. 1094–1118 in Walker F List of the Homopterous insects in the British Museum Part IV. London: British Museum.
Thr-Ref-34	Priesner H.	1928	Über australische Thysanopteren.	Sitzungsberichte der Kaiserlichen Akademie der Wissenschaften 137: 643–659
Thr-Ref-35	Girault A.A.	1928	Notice of a curious professor and of native wasps and woodlice.	Brisbane: Published privately. P. 1–4
Thr-Ref-36	Girault A.A.	1930	New pests from Australia VII.	Brisbane: Privately published. P. 1–3
Thr-Ref-37	Bagnall R.S.	1932	Brief descriptions of new Thysanoptera. XVII.	Annals and Magazine of Natural History (10)10: 505–520
Thr-Ref-38	Mound L.A.	1974	Spore-feeding Thrips (Phlaeothripidae) from Leaf Litter and Dead Wood in Australia.	Australian Journal of Zoology 27: 1–106
Thr-Ref-39	Moulton D.	1928	New Thysanoptera from Formosa.	Transactions of the Natural History Society of Formosa 18: 287–328
Thr-Ref-40	Priesner H.	1935	New or little-known oriental Thysanoptera.	Philippine Journal of Science 57: 351–375
Thr-Ref-41	Karny H.	1913	Beiträge zur Kenntnis der Gallen von Java. 5. Über die javanischen Thysanopteren-cecidien und deren Bewohner.	Bulletin du Jardin Botanique de Buitenzorg 10: 1–126
Thr-Ref-42	Priesner H.	1968	On the genera allied to Liothrips of the Oriental fauna II (Insecta-Thysanoptera).	Treubia 27: 175–285
Thr-Ref-43	Bagnall R.S.	1914	Brief descriptions of new Thysanoptera II.	Annals and Magazine of Natural History (8)13: 22–31
Thr-Ref-44	Girault A.A.	1924	Lese majeste, new Insecta and robbery.	Privately published Gympie 1: 
