"ReferenceID"	"Authors"	"Year"	"Title"	"Details"
"Ginkgodium_bifidum-ref"	"Frenguelli, J."	"1963"	"Contribuciоnes al conocimiento de la flora del Gondwana Superior en la Argentina. XXXIII \"Ginkgoales\" de los Estratos de Potrerillos en la Precordillera de Mendoza."	"Notas del Museo de La Plata, Paleontologia, 11(87): 100–127."
"Sphenobaiera_stormbergensis-ref"	"Frenguelli, J."	"1946"	"Estratigrafia y edad del llamado Retico en la Argentina."	"Gaea, B. Aries, 20: 159–309."
"Sphenobaiera_argentinae-ref"	"Frenguelli, J."	"1946"	"Contribuciones al conocimiento de la flora del Gondwana superior en la Argentina. X X XIII."	"Notas Mus. La Plata Paleontologia, 11(87): 100–127."
"Sphenobaiera_tenuistriata-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_tanganyikensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spinosa-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spectabilis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_spetsbergensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_schenkii-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_robusta-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_raymondii-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_pulchella-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_paucipartita-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_paucinervis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_multifida-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_longifolia-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_leptophylla-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_ikorfatensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_horniana-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_furcata-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_czekanowskiana-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_cretosa-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Sphenobaiera_amalloidea-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgo_coriacea-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgoites_orientalis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
"Ginkgoites_ipsviciensis-ref"	"Florin, R."	"1936"	"Die fossilen Ginkgophyten von Franz-Joseph-Land nebst Erörterungen über vermeintliche Cordaitales mesoischen Alters. I. Spezieller Teil."	"Palaeontographica, 81(B): 71–173."
