ID	AcceptedTaxonID	Genus	SubGenusName	SpeciesEpithet	AuthorString	InfraSpecies	InfraspeciesMarker	InfraSpeciesAuthorString	GSDNameStatus	Sp2000NameStatus	GSDNameGUID
Thr-2	Thr-1	Haplothrips		minisetosus	Klimt, 1969					5	
Thr-4	Thr-3	Eryngyothrips		banihashemii	Minaei, Alavi, Fekrat & Aleosfoor, 2014					5	
Thr-6	Thr-5	Heterothrips		arisaemae	Hood, 1908					5	
Thr-8	Thr-7	Heterothrips		auranticornis	Watson, 1922					5	
Thr-10	Thr-9	Oxythrips		uncinatus	Priesner, 1940					5	
Thr-12	Thr-11	Protoxythrips		ursulae	Schliephake, 1993					5	
Thr-14	Thr-13	Gynaikothrips		maximus	Karny, 1922					5	
Thr-15	Thr-13	Liothrips	Zopyrothrips	maximus	(Karny 1922) Priesner, 1968					5	
Thr-17	Thr-16	Zygothrips		pallescens	Hood, 1919					5	
Thr-18	Thr-16	Watsoniella		helena	Girault, 1928					5	
Thr-19	Thr-16	Haplothrips	Trybomiella	cingulatus	Pelikan, 1963					5	
Thr-20	Thr-16	Haplothrips	Trybomiella	aurocingulatus	Pelikan, 1968					5	
Thr-21	Thr-16	Dyothrips		pallescens	(Hood, 1919)					5	
Thr-23	Thr-22	Ctenothrips		guizhouensis	Xie YH, Zhang HR & Li ZY, 2011					5	
Thr-25	Thr-24	Ctenothrips		yangi	Xie YH, Yuan SY, Li ZY & Zhang HR, 2013					5	
Thr-27	Thr-26	Megalurothrips		flaviflagellus	Mirab-Balou M, Yang SL & Tong X, 2014					5	
Thr-29	Thr-28	Megalurothrips		guizhouensis	Zhang, Feng & Zhang, 2004					5	
Thr-31	Thr-30	Bagnallia		biformis	Bagnall, 1913					5	
Thr-32	Thr-30	Bagnallia		adusta	Bagnall, 1913					5	
Thr-33	Thr-30	Bagnallia		melanurus	Bagnall, 1913					5	
Thr-34	Thr-30	Thrips	Bagnallia	oryzae	Williams, 1916					5	
Thr-35	Thr-30	Thrips		holorphnus	Karny, 1925					5	
Thr-36	Thr-30	Plesiothrips		ooo	Girault, 1929					5	
Thr-37	Thr-30	Thrips		dobrogensis	Knechtel, 1964					5	
Thr-38	Thr-30	Chloethrips		blandus	zur Strassen, 1975					5	
Thr-40	Thr-39	Parrellathrips		ullmanae	Mound & Marullo, 1999					5	
Thr-42	Thr-41	Mesothrips		crassipes	Martynov, 1927					5	
Thr-44	Thr-43	Leptogastrothrips		hoodi	de Santis, 1958					5	
Thr-46	Thr-45	Idolothrips		spectrum	Haliday in Walker, 1852					5	
Thr-47	Thr-45	Idolothrips		marginata	Haliday in Walker, 1852					5	
Thr-48	Thr-45	Idolothrips		lacertina	Haliday in Walker, 1852					5	
Thr-51	Thr-45	Idolothrips		terrigena	Girault, 1928					5	
